pinyin,zh,eng,rad,mean_intensity,mean_intensity_sd,type1,type1_p,type2,type2_p,pos,neg,neu
qiaodeqi,瞧得起,look,0,3.39,1.74,Ot,69.6,Nu,17.4,47.8,21.7,30.4
qiguai,奇怪,strange,2,3.33,1.43,Sp,79.2,Ot,12.5,0,8.3,91.7
qingmie,轻蔑,scornful,0,5.14,1.32,Dg,86.4,Ot,9.1,0,100,0
qingyuan,情愿,willingly,3,3.5,1.85,Hp,45.8,Ot,29.2,43.5,0,56.5
qinpei,钦佩,admire,0,4.92,1.47,Hp,75,Ot,20.8,95.8,0,4.2
qishi,歧视,discriminate,0,5.64,1.33,Dg,77.3,Ot,18.2,0,95.5,4.5
qizhong,器重,think,0,3.58,2.02,Hp,50,Ot,29.2,87.5,0,12.5
reai,热爱,love,0,6,1.04,Hp,100,NA,0,95.8,0,4.2
ruyi,如意,contented,1,4.36,1.43,Hp,95.5,Ot,4.5,95.5,0,4.5
sangqi,丧气,discouraged,0,4.96,1.33,Sd,73.9,Ot,17.4,0,95.7,4.3
shanggan,伤感,sad,1,5.09,1.1,Sd,95.7,Fr,4.3,0,69.6,30.4
shangshi,赏识,appreciate,0,4.35,1.68,Hp,82.6,Nu,8.7,91.3,0,8.7
shangxin,伤心,sad,1,5.42,1.19,Sd,100,NA,0,0,79.2,20.8
shengqi,生气,angry,0,6,0.87,Ag,100,NA,0,0,71.4,28.6
shenwang,神往,rapt,0,4.9,1.85,Hp,50,Ot,40.9,95.2,0,4.8
shiwang,失望,disappointed,0,4.96,1.31,Sd,75,Ot,16.7,0,87.5,12.5
shuangxin,爽心,comfortable,1,4.96,0.91,Hp,95.8,Un,4.2,100,0,0
shuchang,舒畅,pleasant,0,4.78,1.44,Hp,91.3,Ot,8.7,95.7,0,4.3
shufu,舒服,comfortable,0,4.63,1.11,Hp,95.8,Nu,4.2,91.7,0,8.3
shunxin,顺心,contented,1,3.75,1.48,Hp,95.8,Nu,4.2,95.8,0,4.2
shutan,舒坦,comfortable,0,4.54,1.35,Hp,91.7,Ot,8.3,95.8,0,4.2
shuxin,舒心,comfortable,1,4.61,1.24,Hp,82.6,Ot,13,95.7,0,4.3
songkuai,松快,contented,2,4.45,1.12,Hp,91.3,Un,4.3,86.4,0,13.6
suanxin,酸辛,miserable,0,4.7,1.23,Sd,65.2,Ot,30.4,0,65.2,34.8
taoyan,讨厌,hate,0,4.96,1.31,Dg,100,NA,0,0,79.2,20.8
tiliang,体谅,empathetic,0,3.25,1.66,Ot,58.3,Nu,25,65.2,0,34.8
titie,体贴,considerate,0,3.22,1.47,Ot,43.5,Hp,34.8,87,0,13
tonghen,痛恨,hate,2,6.7,0.46,Dg,78.3,Ag,17.4,0,82.6,17.4
